PLAYER,YEAR,POS,NO SHOES,WITH SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE,3/4 SPRINT,STD VERT,MAX VERT,BENCH,BODY FAT %,HAND L,HAND W
Adreian Payne,2014,BIG,81.00,81.75,109.0,238.5,88.00,7.00,,,,,,7.6%,9.25,9.50
Aerick Sanders,2004,BIG,78.50,79.50,106.0,205.0,83.50,5.00,,3.37,24.5,30.5,9,6.7%,,
AJ English,2016,PG,74.00,75.00,98.5,182.2,82.00,8.00,3.27,3.28,29.5,35.5,,5.3%,8.75,8.50
Al Horford,2007,BIG,80.00,81.75,107.0,246.0,84.75,4.75,,3.37,31.0,35.5,20,9.1%,,
Al Jefferson,2004,COMBO F,80.50,81.75,110.0,263.0,86.50,6.00,,3.29,28.5,30.0,3,10.5%,,
Al Thornton,2007,WING,77.75,79.00,104.0,221.0,85.00,7.25,,3.16,35.0,41.0,9,5.8%,,
Al-Farouq Aminu,2010,WING,79.25,80.50,108.5,216.0,87.25,8.00,,3.30,27.0,33.5,13,8.2%,9.50,9.50
Alan Anderson,2005,WING,76.50,78.00,104.0,223.2,81.50,5.00,,3.27,26.5,30.5,10,,,
Alan Williams,2015,BIG,79.25,80.25,106.5,261.4,85.75,6.50,3.54,3.50,25.5,28.5,8,12.0%,8.50,9.50
Alec Brown,2014,BIG,84.25,85.25,109.0,231.2,85.50,1.25,2.91,3.48,27.0,30.0,,7.7%,9.25,8.75
Alec Burks,2011,WING,77.00,78.00,103.5,192.6,82.00,5.00,,3.17,29.0,36.0,5,5.1%,9.00,8.25
Alec Peters,2017,BIG,79.25,80.75,105.0,232.0,82.75,3.50,,,,,,8.8%,8.75,10.00
Aleks Maric,2008,BIG,81.75,82.75,109.5,273.0,85.00,3.25,,3.35,23.0,28.0,15,10.1%,,
Aleksandar Capin,2004,PG,72.00,73.25,94.0,176.0,73.50,1.50,,3.27,23.0,29.0,4,9.3%,,
Aleksander Djuric,2003,BIG,82.00,,108.0,253.0,84.00,2.00,,3.65,23.5,27.5,3,16.3%,,
Ales Chan,2004,BIG,84.00,86.00,113.0,255.0,87.00,3.00,,3.62,21.0,29.0,2,14.8%,,
Alex Acker,2005,WING,75.75,76.75,102.5,183.0,84.00,8.25,,3.35,28.0,32.0,11,,,
Alex Kirk,2014,BIG,81.25,82.75,109.5,252.0,87.50,6.25,3.19,3.48,28.5,31.5,,13.6%,9.25,10.50
Alex Len,2013,BIG,,,,,87.50,,,,,,,6.4%,9.00,10.75
Alex Scales,2000,COMBO G,74.25,,97.5,184.5,81.00,6.75,,3.21,38.5,42.5,10,,,
Ali Traore,2007,BIG,80.75,81.75,108.5,249.0,88.00,7.25,,3.52,25.0,29.0,11,12.1%,,
Alize Johnson,2018,BIG,79.25,80.00,103.0,216.6,80.75,1.50,3.27,3.38,25.0,31.0,,8.1%,8.50,9.75
Allan Ray,2006,WING,73.00,74.25,99.5,204.0,80.50,7.50,,3.20,28.5,35.5,9,9.8%,,
Allen Crabbe,2013,WING,77.25,78.25,103.5,197.4,83.25,6.00,3.10,3.32,30.5,36.0,10,4.7%,8.25,8.50
Allonzo Trier,2018,WING,75.75,77.25,98.0,198.0,78.75,3.00,2.96,3.14,32.0,40.0,,5.0%,8.25,10.50
Aloysius Anagonye,2003,BIG,78.75,,106.0,257.0,86.50,7.75,,3.30,31.0,34.5,6,10.5%,,
Alton Ford,2001,BIG,80.25,,102.5,271.0,82.50,2.25,,3.16,34.5,36.5,21,8.0%,,
Amar'e Stoudemire,2002,BIG,80.50,,108.5,233.0,85.75,5.25,,3.25,32.0,35.5,12,,,
Andre Barrett,2004,PG,68.75,69.75,92.0,171.0,73.00,4.25,,3.08,29.0,34.5,13,6.7%,,
Andre Brown,2004,BIG,80.00,81.50,107.0,236.0,83.00,3.00,,3.22,32.0,35.5,18,6.0%,,
Andre Drummond,2012,BIG,81.75,83.75,109.5,278.6,90.25,8.50,,3.39,31.5,33.5,10,7.5%,9.50,9.50
Andre Emmett,2004,WING,75.50,76.50,100.0,216.0,81.00,5.50,,,,,,6.7%,,
Andre Hutson,2001,BIG,80.25,,105.5,244.0,83.75,3.50,,3.30,29.0,32.5,17,11.7%,,
Andre Iguodala,2004,WING,77.75,78.75,105.5,217.0,83.00,5.25,,3.18,30.5,34.5,4,6.7%,,
Andre Roberson,2013,COMBO F,78.25,79.00,104.5,205.8,83.00,4.75,3.02,3.34,30.0,36.5,10,7.1%,8.75,9.50
Andrew Bogut,2005,BIG,83.00,84.25,110.5,250.6,87.00,4.00,,3.51,27.5,33.5,13,,,
Andrew Goudelock,2011,PG,73.25,74.75,96.5,197.6,76.25,3.00,,3.10,32.5,37.0,4,9.9%,8.25,9.25
Andrew Harrison,2015,PG,76.50,77.50,100.0,213.2,81.00,4.50,,3.34,26.5,33.0,,5.9%,8.25,9.25
Andrew Jones,2017,WING,75.00,76.25,99.5,185.0,78.50,3.50,3.19,3.34,27.0,35.0,,4.9%,8.50,9.00
Andrew Nicholson,2012,BIG,80.50,81.50,107.0,234.0,88.00,7.50,,3.67,28.5,30.5,10,7.6%,10.00,10.75
Andris Biedrins,2004,BIG,,,,,,0.00,,,,,,9.3%,,
Andy Ellis,2002,BIG,81.25,,102.0,220.0,82.25,1.00,,3.34,32.0,35.5,6,,,
Andy Rautins,2010,WING,76.25,77.00,100.0,191.6,79.00,2.75,,3.49,23.5,30.5,8,6.2%,8.00,9.75
Anfernee Simons,2018,COMBO G,74.25,75.25,99.5,183.2,81.25,7.00,3.16,3.10,32.0,41.5,,7.7%,8.75,9.00
Antanas Kavaliauskas,2007,BIG,81.00,82.50,106.5,237.0,82.50,1.50,,3.42,25.5,30.0,19,7.7%,,
Anthony Brown,2015,WING,77.75,79.25,104.5,211.0,83.00,5.25,3.29,3.18,27.5,34.5,4,6.1%,8.50,9.00
Anthony Davis,2012,BIG,81.25,82.50,108.0,221.8,89.50,8.25,,,,,,7.9%,9.00,8.50
Anthony Evans,2001,BIG,78.00,,101.5,267.0,83.50,5.50,,3.31,31.5,33.0,18,12.9%,,
Anthony Grundy,2002,COMBO G,72.75,,99.0,167.0,79.75,7.00,,3.39,27.5,32.0,0,,,
Anthony Randolph,2008,COMBO F,81.00,82.25,109.0,197.0,87.00,6.00,,3.26,29.0,35.0,7,4.7%,,
Anthony Roberson,2005,PG,72.75,74.50,95.0,178.8,74.75,2.00,,3.19,31.5,37.0,14,,,
Anthony Tolliver,2007,BIG,79.00,80.50,107.5,242.0,86.50,7.50,,3.29,28.5,30.0,21,5.7%,,
Antoine Wright,2005,WING,77.25,78.25,104.5,202.6,80.75,3.50,,3.41,26.5,29.5,12,,,
Antonio Burks,2004,PG,72.00,72.75,96.5,191.0,78.50,6.50,,,,,9,9.9%,,
Antonis Fotsis,2000,WING,81.25,,106.0,219.0,80.50,-0.75,,3.44,27.0,30.0,2,,,
Antywane Robinson,2006,COMBO F,78.25,79.50,105.5,217.0,86.50,8.25,,3.40,29.0,32.5,12,6.9%,,
Archie Goodwin,2013,WING,75.75,77.25,102.0,189.0,81.50,5.75,3.41,3.27,30.0,36.0,1,4.6%,8.50,9.00
Armon Johnson,2010,COMBO G,74.00,75.25,99.5,195.2,80.00,6.00,,3.19,31.5,38.5,18,5.6%,8.25,9.25
Arnett Moultrie,2012,BIG,81.50,82.75,106.5,232.8,86.25,4.75,,3.22,33.5,37.5,10,7.7%,9.25,9.25
Arthur Johnson,2004,BIG,79.00,80.50,109.0,262.0,87.00,8.00,,3.38,26.5,28.5,14,16.3%,,
Artsiom Parakhouski,2010,BIG,82.25,83.75,109.5,268.2,85.00,2.75,,3.33,25.5,26.5,16,6.0%,9.00,10.50
Aubrey Reese,2000,PG,70.75,,94.5,189.0,77.50,6.75,,3.25,31.5,37.5,14,,,
Austin Daye,2009,COMBO F,81.75,82.75,110.0,191.8,86.75,5.00,,3.55,25.0,28.0,0,5.5%,,
Austin Rivers,2012,COMBO G,75.50,77.00,96.5,202.8,79.25,3.75,,3.32,32.5,37.5,1,6.2%,8.50,10.00
Austin Wiley,2018,BIG,80.25,82.00,111.0,249.4,89.00,8.75,3.31,3.30,28.0,33.5,,5.0%,9.75,10.25
Avery Bradley,2010,COMBO G,74.00,75.25,98.5,180.4,79.25,5.25,,3.14,31.5,37.5,2,4.0%,8.25,9.50
Avis Wyatt,2007,BIG,80.75,81.50,107.0,212.0,85.00,4.25,,3.23,27.5,32.0,12,3.3%,,
Ben Bentil,2016,BIG,79.25,80.25,105.0,229.2,85.50,6.25,3.10,3.30,29.0,33.0,,9.7%,9.50,10.00
Ben Gordon,2004,COMBO G,73.00,74.25,99.0,192.0,80.50,7.50,,3.19,31.5,37.5,12,5.3%,,
Ben McLemore,2013,WING,75.50,76.75,100.5,189.2,79.75,4.25,3.11,3.27,32.5,42.0,6,5.0%,8.75,9.50
Benjamin Eze,2001,BIG,80.75,,109.0,232.0,90.00,9.25,,3.36,29.0,32.0,14,3.9%,,
Beno Udrih,2004,PG,74.50,75.75,98.0,199.0,76.50,2.00,,,,,2,9.3%,,
Bernard James,2012,BIG,80.75,82.00,108.5,229.8,87.00,6.25,,3.40,30.0,32.5,6,5.0%,9.00,9.25
Bernard King,2003,COMBO G,75.75,,98.5,200.0,77.50,1.75,,3.18,28.0,33.5,11,12.9%,,
Bernard Robinson,2004,WING,77.25,78.50,102.0,208.0,82.00,4.75,,3.17,28.5,34.5,14,6.0%,,
Billy Preston,2018,BIG,80.75,82.50,108.0,222.4,86.00,5.25,3.35,3.20,25.0,33.0,,5.5%,9.25,9.50
BJ Young,2013,COMBO G,74.25,75.50,99.0,178.8,80.25,6.00,,,,,,4.7%,8.50,9.50
Blagota Sekulic,2004,COMBO F,81.25,82.50,107.0,234.0,83.00,1.75,,3.39,23.5,31.5,8,9.3%,,
Blake Griffin,2009,BIG,80.50,82.00,105.0,248.4,83.25,2.75,,3.28,32.0,35.5,22,8.2%,,
Blake Schilb,2007,COMBO G,77.25,78.25,102.0,209.0,80.75,3.50,,3.43,28.5,34.5,13,11.3%,,
Blake Stepp,2004,PG,,,,,,0.00,,,,,,8.0%,,
Bobby Brown,2007,PG,71.00,73.75,95.5,170.0,76.00,5.00,,3.25,32.5,41.0,3,6.6%,,
Bobby Jones,2006,WING,77.75,78.75,101.5,211.0,81.50,3.75,,3.28,28.5,34.5,15,8.0%,,
Bobby Portis,2015,BIG,81.50,82.50,108.5,246.2,86.00,4.50,3.28,3.56,25.0,31.5,5,8.9%,9.50,9.25
Bobby Simmons,2001,WING,78.25,,105.0,235.0,84.25,6.00,,3.41,27.5,34.0,12,6.7%,,
Bol Bol,2019,BIG,84.75,86.50,115.5,208.0,91.00,6.25,,,,,,7.1%,9.25,9.50
Bootsy Thornton,2000,WING,75.50,,101.5,194.5,78.50,3.00,,3.33,26.5,31.0,7,,,
Bracey Wright,2005,COMBO G,73.25,74.50,100.5,186.8,82.00,8.75,,3.27,30.0,36.0,8,,,
Brad Buckman,2006,BIG,79.25,80.75,107.5,238.0,84.00,4.75,,3.54,25.5,30.5,10,10.5%,,
Brad Newley,2007,WING,77.00,78.50,102.5,201.0,80.00,3.00,,3.29,29.5,31.5,3,8.0%,,
Bradley Beal,2012,WING,75.25,76.75,100.0,201.8,80.00,4.75,,3.28,33.0,39.0,8,6.0%,8.50,9.00
Brandan Wright,2007,BIG,80.75,82.00,108.5,200.0,87.75,7.00,,3.31,30.5,35.5,2,5.8%,,
Branden Dawson,2015,BIG,77.50,78.75,105.0,230.2,83.00,5.50,3.53,3.20,28.5,34.5,12,5.8%,9.00,8.75
Brandin Knight,2003,PG,71.75,,95.5,190.0,78.00,6.25,,,,,6,10.5%,,
Brandon Armstrong,2001,WING,75.50,,99.5,188.0,81.50,6.00,,3.20,30.0,37.0,6,9.3%,,
Brandon Ashley,2015,BIG,79.25,80.50,105.0,228.0,87.75,8.50,3.35,3.58,31.5,35.5,9,8.8%,9.00,9.50
Brandon Bass,2004,BIG,78.25,79.25,106.5,246.0,86.50,8.25,,3.24,31.5,33.0,18,9.3%,,
Brandon Bowman,2006,WING,78.75,80.25,103.0,209.0,83.50,4.75,,3.31,31.0,34.0,24,8.4%,,
Brandon Clarke,2019,COMBO F,79.25,80.25,102.0,207.2,80.25,1.00,3.05,3.15,34.0,40.5,10,4.9%,8.25,9.50
Brandon Davies,2013,BIG,80.50,82.25,108.5,241.8,85.50,5.00,3.14,3.50,26.0,31.5,7,8.6%,9.00,11.00
Brandon Heath,2007,PG,74.00,75.75,94.0,181.0,79.00,5.00,,3.28,32.0,36.0,11,9.0%,,
Brandon Hunter,2003,BIG,78.50,,105.5,266.0,86.75,8.25,,3.21,32.5,35.0,25,8.0%,,
Brandon Knight,2011,PG,73.50,75.25,98.5,176.8,78.75,5.25,,3.07,29.0,37.5,10,4.2%,8.25,9.50
Brandon Kurtz,2000,BIG,81.50,,106.5,257.0,83.25,1.75,,,,,7,,,
Brandon McCoy,2018,BIG,83.50,84.50,110.5,250.4,86.00,2.50,3.30,3.23,27.5,32.0,,8.7%,9.75,9.50
Brandon Paul,2013,WING,74.75,76.00,98.0,201.0,82.25,7.50,2.90,3.37,33.5,39.5,15,5.3%,8.50,9.50
Brandon Roy,2006,WING,77.25,78.25,101.0,207.0,80.00,2.75,,3.27,34.0,40.5,6,7.6%,,
Brandon Rush,2005,WING,77.00,78.50,104.5,211.4,83.25,6.25,,3.31,32.5,35.0,0,,,
Brendan Haywood,2001,BIG,83.75,,113.5,266.0,90.50,6.75,,3.50,27.0,28.5,17,12.9%,,
Brent Wright,2001,COMBO F,79.75,,105.5,236.0,85.50,5.75,,3.30,23.0,29.0,19,12.4%,,
Brian Boddicker,2004,COMBO F,79.50,80.75,105.5,230.0,82.00,2.50,,3.25,28.0,30.0,16,11.2%,,
Brian Bowen,2018,WING,78.25,79.50,103.5,202.0,82.25,4.00,3.32,3.28,30.5,34.0,,7.6%,9.00,10.00
Brian Bowen II,2019,WING,78.25,79.50,103.0,200.0,82.00,3.75,3.21,3.26,32.0,35.5,1,6.5%,8.50,9.75
Brian Brown,2002,COMBO G,74.50,,99.0,194.0,79.00,4.50,,3.29,26.0,33.0,8,,,
Brian Butch,2008,BIG,81.50,83.00,108.0,229.6,83.25,1.75,,3.52,24.0,26.5,9,10.8%,,
Brian Cook,2003,COMBO F,81.50,,109.0,234.0,86.00,4.50,,3.45,25.0,29.0,6,10.5%,,
Brian Montonati,2000,BIG,80.75,,106.0,215.0,82.50,1.75,,3.53,25.0,29.0,5,,,
Brian Roberts,2008,PG,72.25,73.25,95.0,173.0,73.25,1.00,,3.05,31.5,36.5,10,3.6%,,
Brian Scalabrine,2001,COMBO F,80.75,,105.5,241.0,81.75,1.00,,3.47,27.0,30.5,14,13.6%,,
Brice Johnson,2016,BIG,81.00,82.50,106.5,208.6,84.50,3.50,2.94,3.20,33.5,38.0,,7.5%,9.00,8.25
Britton Johnsen,2003,COMBO F,82.00,,107.5,212.0,82.75,0.75,,3.08,26.5,32.5,13,7.3%,,
Brook Lopez,2008,BIG,83.25,84.50,113.0,258.0,89.50,6.25,,3.57,27.5,30.5,7,6.3%,,
Brooks Sales,2002,BIG,81.00,,108.0,232.0,82.00,1.00,,3.29,26.0,29.5,13,,,
Bruce Brown,2018,COMBO G,75.50,77.00,98.5,194.6,81.00,5.50,3.43,3.20,32.5,38.0,,3.8%,8.50,8.50
Bruno Fernando,2019,BIG,80.75,82.25,110.0,237.0,87.25,6.50,3.05,3.21,29.5,33.5,13,5.4%,9.25,10.00
Bruno Fernando 18,2018,BIG,80.75,81.75,109.0,233.2,88.25,7.50,3.03,3.23,29.0,35.0,,5.3%,9.50,10.00
Bryant Matthews,2004,WING,77.75,78.75,105.5,206.0,84.50,6.75,,3.13,29.0,34.5,13,6.7%,,
Bryce Taylor,2008,WING,74.75,76.25,99.5,210.0,81.00,6.25,,3.19,34.5,41.0,16,8.3%,,
Buddy Hield,2016,WING,75.75,77.00,101.0,212.4,81.25,5.50,,,,,,6.1%,8.50,9.00
Byron Mouton,2002,WING,76.50,,102.0,213.0,82.25,5.75,,3.10,24.0,30.0,7,,,
Byron Mullens,2009,BIG,83.75,85.25,111.0,258.2,85.50,1.75,,3.45,28.5,32.5,10,8.5%,,
C.J. Fair,2014,WING,78.50,80.00,104.0,218.1,81.50,3.00,3.06,3.32,27.0,35.0,,5.1%,9.00,9.00
C.J. Wilcox,2014,WING,75.50,77.00,100.5,201.0,81.75,6.25,2.92,3.22,31.0,37.5,,6.5%,8.75,9.00
Caleb Green,2007,BIG,78.00,80.00,103.0,238.0,83.75,5.75,,3.46,28.5,36.0,9,10.9%,,
Caleb Martin,2018,WING,76.75,78.00,101.5,195.8,82.00,5.25,,,,,,7.0%,8.50,8.75
Caleb Swanigan,2016,BIG,79.50,80.50,107.0,246.6,87.50,8.00,,,26.0,29.0,,12.6%,9.00,10.25
Calvin Bowman,2001,BIG,80.75,,104.0,214.0,83.50,2.75,,3.21,28.5,34.5,7,8.6%,,
Cameron Bairstow,2014,BIG,80.75,81.75,107.0,252.4,84.75,4.00,3.09,3.37,31.0,33.5,,8.7%,8.75,9.00
Cameron Johnson,2019,WING,79.00,80.50,103.0,205.2,82.00,3.00,3.28,3.26,30.5,36.5,-,5.8%,8.00,8.50
Cameron Oliver,2017,BIG,79.00,80.25,106.5,238.6,85.25,6.25,3.31,3.16,28.0,39.5,,7.7%,9.50,10.25
Cameron Payne,2015,PG,72.75,73.50,97.5,182.8,79.25,6.50,2.93,3.28,29.8,35.5,0,6.3%,8.50,8.25
Cameron Reddish,2019,COMBO F,78.50,80.00,105.5,207.8,84.50,6.00,,,,,,4.7%,9.00,9.00
Caris LeVert,2016,WING,77.75,79.00,101.0,191.0,82.00,4.25,,,,,,7.6%,8.50,9.25
Carl English,2003,COMBO G,76.00,,98.5,201.0,77.25,1.25,,3.32,28.0,34.0,11,8.0%,,
Carl Krauser,2006,PG,71.75,72.75,97.0,190.0,78.25,6.50,,3.38,26.0,31.0,8,8.0%,,
Carl Landry,2007,BIG,79.00,80.50,102.5,248.0,83.00,4.00,,3.29,31.5,36.5,21,7.5%,,
Carlos Boozer,2002,BIG,79.75,,108.5,258.0,86.25,6.50,,3.31,26.5,28.5,13,,,
Carlos Powell,2005,COMBO F,77.25,78.75,105.0,221.8,82.75,5.50,,3.21,27.5,34.5,12,,,
Carmelo Anthony,2003,WING,78.25,,105.5,233.0,84.00,5.75,,3.15,30.5,33.5,7,8.0%,,
Caron Butler,2002,WING,77.25,,103.5,222.0,83.50,6.25,,3.33,27.0,31.0,2,,,
Carrick Felix,2013,WING,76.75,78.25,103.5,202.6,81.25,4.50,3.09,3.25,32.0,38.5,15,3.3%,8.50,9.50
Carsen Edwards,2019,PG,70.75,72.25,94.5,199.4,78.00,7.25,2.82,3.22,28.5,34.0,14,5.5%,8.75,9.00
Carsen Edwards 18,2018,PG,70.75,72.00,94.5,195.6,78.25,7.50,3.15,3.20,28.5,34.5,,6.3%,8.50,9.25
Cartier Martin,2007,WING,76.00,78.50,103.5,218.0,82.00,6.00,,3.43,27.0,29.5,11,5.6%,,
Caswell Cyrus,2000,BIG,79.75,,107.5,220.5,86.00,6.25,,3.16,33.5,37.5,18,,,
Cat Barber,2016,PG,73.50,74.75,95.5,173.0,77.50,4.00,,,,,,4.5%,8.00,8.50
Cedric Simmons,2006,BIG,80.25,81.50,108.5,223.0,88.25,8.00,,3.31,30.5,35.0,15,5.6%,,
Ceedric Goodwyn,2000,COMBO F,78.00,,104.5,238.0,82.00,4.00,,,,,,,,
Chandler Parsons,2011,WING,80.75,81.75,104.5,221.2,81.50,0.75,,3.29,25.5,31.5,4,7.0%,8.25,10.00
Channing Frye,2005,BIG,81.50,82.50,110.5,243.6,86.50,5.00,,3.38,27.5,31.0,19,,,
Charles Bassey,2019,BIG,80.75,81.00,109.5,239.0,87.50,6.75,3.27,3.53,29.0,33.0,7,8.5%,9.25,9.50
Charles Garcia,2010,WING,80.25,81.25,107.5,231.6,85.75,5.50,,3.23,24.5,30.5,2,7.0%,8.75,9.00
Charles Hathaway,2001,BIG,80.00,,107.5,274.0,86.00,6.00,,,,,,,,
Charles Hayes,2005,COMBO F,77.50,78.75,104.5,232.4,82.00,4.50,,3.34,30.0,33.0,20,,,
Charles Jenkins,2011,COMBO G,73.50,75.25,96.5,216.4,79.50,6.00,,3.18,29.5,34.0,16,4.3%,8.50,9.00
Charles Matthews,2019,WING,77.00,78.25,103.0,194.8,81.50,4.50,3.24,3.38,29.5,37.5,9,3.8%,8.50,8.75
Charles Rhodes,2008,BIG,79.25,80.25,107.5,244.0,83.25,4.00,,3.13,26.5,33.5,14,10.7%,,
Charlie Bell,2001,PG,74.50,,97.5,200.0,79.50,5.00,,3.12,31.5,38.0,15,6.7%,,
Charlie Villanueva,2005,COMBO F,81.00,81.50,109.0,236.6,84.25,3.25,,3.30,26.0,31.0,11,,,
Chase Budinger,2009,WING,78.25,79.00,101.0,206.4,79.00,0.75,,3.24,29.5,38.5,10,10.0%,,
Chasson Randle,2015,PG,72.25,73.50,96.5,178.8,79.00,6.75,2.81,3.20,33.5,39.5,6,4.5%,8.50,9.50
Cheick Diallo,2016,BIG,79.50,81.00,107.5,218.6,88.50,9.00,3.30,3.26,31.0,35.0,,5.6%,8.50,9.75
Chimezie Metu,2018,BIG,80.50,81.50,108.0,219.6,84.50,4.00,3.13,3.33,29.5,36.0,,5.1%,9.00,9.25
Chinanu Onuaku,2016,BIG,81.00,82.00,108.5,245.2,86.75,5.75,3.00,3.50,27.5,33.5,,8.6%,9.00,8.00
Chris Bosh,2003,BIG,82.25,,109.0,225.0,87.50,5.25,,3.30,30.5,33.0,9,8.0%,,
Chris Boucher,2017,BIG,80.00,81.50,110.5,182.2,88.00,8.00,,,,,,5.4%,9.25,10.50
Chris Burgess,2002,BIG,82.00,,109.0,246.0,83.50,1.50,,3.37,24.5,31.0,24,,,
Chris Christoffersen,2002,BIG,84.75,,109.0,291.0,87.50,2.75,,3.39,28.0,31.0,13,,,
Chris Daniels,2008,BIG,80.25,81.50,109.0,256.0,84.50,4.25,,3.56,26.0,28.5,11,16.1%,,
Chris Duhon,2004,PG,72.00,73.25,98.0,193.0,78.50,6.50,,3.14,31.5,35.0,7,6.7%,,
Chris Garnett,2004,BIG,80.25,81.75,108.0,260.0,85.00,4.75,,3.36,27.0,31.5,22,14.8%,,
Chris Kaman,2003,BIG,83.50,,110.5,252.0,83.75,0.25,,3.37,23.5,30.5,15,16.3%,,
Chris Marcus,2003,BIG,84.00,,114.0,334.0,92.00,8.00,,,,,12,23.1%,,
Chris Massie,2003,BIG,78.25,,107.0,248.0,84.00,5.75,,,,,,,,
Chris McCray,2006,WING,75.00,76.00,96.5,187.0,77.75,2.75,,3.34,30.5,39.0,1,9.6%,,
Chris McCullough,2015,BIG,80.25,81.00,109.0,199.0,87.25,7.00,,,,,,6.2%,8.75,8.75
Chris Owens,2002,COMBO F,79.00,,104.0,237.0,83.50,4.50,,,,,10,,,
Chris Paul,2005,PG,71.75,73.00,93.0,178.0,76.25,4.50,,3.22,32.0,38.0,10,,,
Chris Porter,2000,COMBO F,77.50,,103.5,214.0,81.50,4.00,,3.20,28.5,35.0,6,,,
Chris Quinn,2006,COMBO G,72.50,73.50,94.0,175.0,77.00,4.50,,3.25,32.0,37.0,7,5.9%,,
Chris Richard,2007,BIG,79.00,80.75,110.5,252.0,88.50,9.50,,3.29,26.5,30.5,15,7.5%,,
Chris Singleton,2011,WING,79.75,81.00,103.5,230.2,85.00,5.25,,3.09,30.5,37.5,15,7.4%,9.25,10.00
Chris Taft,2005,BIG,80.50,81.50,109.0,261.0,85.75,5.25,,3.27,28.5,33.0,14,,,
Chris Thomas,2005,PG,71.75,73.00,95.0,176.2,75.00,3.25,,3.33,28.5,34.0,14,,,
Chris Walker,2015,BIG,80.75,81.25,108.0,208.0,86.75,6.00,3.41,3.35,30.5,37.0,6,5.1%,9.00,9.00
Chris Wilcox,2002,BIG,80.25,,107.5,218.0,85.00,4.75,,3.16,31.0,34.5,20,,,
Christian Wood,2015,BIG,81.25,82.50,111.5,216.0,87.25,6.00,,,,,,14.7%,9.25,10.75
CJ Leslie,2013,COMBO F,79.50,80.75,104.5,209.2,86.25,6.75,2.79,3.10,32.5,40.5,,8.0%,8.75,9.00
CJ McCollum,2013,COMBO G,74.25,75.25,96.5,197.0,78.25,4.00,2.91,3.32,32.0,38.5,13,8.6%,8.00,9.50
CJ Watson,2006,PG,72.50,73.75,96.0,171.0,78.00,5.50,,3.15,31.5,34.0,12,5.2%,,
Cleanthony Early,2014,WING,78.00,79.25,101.5,209.4,82.75,4.75,2.96,3.18,34.0,40.0,,4.5%,8.50,9.00
Cliff Alexander,2015,BIG,79.25,80.50,109.5,239.2,87.50,8.25,,,,,,5.8%,9.50,10.25
Coby Karl,2007,COMBO G,75.00,76.75,99.5,204.0,83.00,8.00,,3.41,32.0,34.5,9,5.4%,,
Coby White,2019,PG,75.50,76.75,97.5,191.4,77.00,1.50,,,,,,4.3%,7.75,9.00
Cody Martin,2019,PG,76.75,77.50,102.5,192.2,82.25,5.50,2.99,3.32,28.0,35.5,7,5.0%,8.25,9.00
Cody Martin 18,2018,WING,76.75,78.00,102.5,188.6,82.25,5.50,3.05,3.09,29.0,36.5,,5.5%,8.50,9.00
